sample_id,general_score,specific_score,final_score,general_reason,specific_matches,notes,model,prompt_key,run_id
public_test_1,4.0,5.0,9.0,"1) 判定OK | 実験指示の主要パラメータ（3個以上の3号形、標準環境、T/Tb/Eb算出、成績書作成）を手順に反映 | 「3片以上打ち抜き」「T＝Fm/A0（MPa）、切断時引張強さTb＝Fb/A0（MPa）、切断時伸びEb＝100×(Lb−L0)/L0（%）を算出する」
2) 判定NG | 必須物品の全要素が明示的に使用されていない（ノギス・標線用マーカー/テンプレート・環境計/恒温恒湿装置の明記欠如）。幅b測定も器具が特定されず曖昧 | 「厚さ計で平行部の中央＋標線近傍2点を測定し中央値tを求める。幅bは打抜き刃準拠（切り出し品は実測）」
3) 判定OK | 元プロトコルの順序・分岐（状態調節→作製/標線→寸法→装着・500 mm/min→無効判定と再試験→計算）が矛盾なく維持 | 「クロスヘッド速度500 mm/minを設定」「平行部外破断やすべりが認められたデータは無効とし、同数の追加片で再試験する」
4) 判定OK | 各片で必要データ取得とT/Tb/Eb算出、成績書に条件・統計を記載する流れが具体的で最終状態に到達可能 | 「断面積A0＝b×tとし、引張強さT＝Fm/A0…切断時伸びEb＝100×(Lb−L0)/L0（%）を算出」「試験温湿度、…各片のt, b, L0, Fm, Fb, Lb, T, Tb, Eb…を成績書に記録する」
5) 判定OK | 明示されていない部分を適切に補完（保持時間、速度検証、ロードセルゼロ、初期応力付与条件などを具体化） | 「空走30 sで250 ± 5 mm移動することを計測して速度を検証する（±2 % 目安）」「必要に応じ初期応力0.1 MPaを付与」","[""保護眼鏡（推奨：フェイスシールド）を着用し、つかみ具周辺の指はさみ防止を周知する。飛散防護カバーを閉じ、非常停止スイッチの位置と作動を確認する。"", ""試料を23 ± 2 °C／50 ± 10 %RH環境で3 h以上保持する（環境値を記録）"", ""標線L0＝20.0 ± 0.5 mmを2本、直角・等距離に付与する（無荷重）。"", ""接触／非接触いずれかの伸び計を用い、標線上に正確にセットする。標線間距離の測定精度±1 %を満たすことを確認し、読み取りL0 ≈ 20.0 mmを再確認する。"", ""ロードセルのゼロ点を確認する。クロスヘッド速度500 mm/minを設定し、空走30 sで250 ± 5 mm移動することを計測して速度を検証する（±2 % 目安）。"", ""平行部外破断やすべりが認められたデータは無効とし、同数の追加片で再試験する。"", ""試験片が延伸途中で治具からずれていないか目視で確認し、ずれなどでおかしい場合は、データに失敗であることを記録する。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_10,3.0,5.0,8.0,"1) 判定：OK | 播種2時間後かつn=3の実施が明示されている | 「インキュベーターで2時間培養。」「96-well plateのコーティング済みウェル3箇所とコーティングされていないウェル3箇所に細胞懸濁液100 µLを播種する。」
2) 判定：NG | 必須物品の具体性が不足（4%表記やA1–A3指定、HeLaの明記なし） | 「各ウェルにPFAを75 µLずつ加える。」「96-well plateのコーティング済みウェル3箇所」
3) 判定：OK | 元プロトコルの順序（洗浄→固定→洗浄→透過化→洗浄→染色→洗浄→撮影）が維持 | 「各ウェルをPBS150 µLで2回洗浄。」「各ウェルにPFAを75 µLずつ加える。15分静置。」「各ウェルに膜透過溶液を100 µLずつ加える。10分放置。」「各ウェルに染色液を100 µLずつ加える。30分放置。」「蛍光顕微鏡で、細胞蛍光画像を取得。」
4) 判定：NG | ファロイジンのフィルター条件が不適切で画像取得が成立しない恐れ | 「ファロイジン; ex：450-480，em：535 ± 20 nm」
5) 判定：OK | 不明部分を具体量で補完（BSA調製量、透過化液、染色液の配合と余剰量見込み） | 「BSA 11 mgをPBS1100 µLに溶解させて、1%BSA-PBS溶液を調整する。」「0.1%TritonX 1 µLを1%BSA-PBS溶液 1000 µLに加えて、膜透過溶液を調整する。」「PBS 650 µLに、ファロイジンストック16.25 µLとDAPIストック溶液6.5 µLを加えて、染色液を調整する。」","[""PBS 650 µLに、ファロイジンストック16.25 µLとDAPIストック溶液6.5 µLを加えて、染色液を調整する。"", ""各ウェルに染色液を100 µLずつ加える。"", ""96-well plateのコーティング済みウェル3箇所とコーティングされていないウェル3箇所に細胞懸濁液100 µLを播種する。"", ""0.1%TritonX 1 µLを1%BSA-PBS溶液 1000 µLに加えて、膜透過溶液を調整する。"", ""各ウェルに膜透過溶液を100 µLずつ加える。"", ""BSA 11 mgをPBS1100 µLに溶解させて、1%BSA-PBS溶液を調整する。"", ""1%BSA-PBS溶液 1000 µLに加えて"", ""蛍光顕微鏡で、細胞蛍光画像（ファロイジン; ex：450-480，em：535 ± 20 nm、DAPI; ex：355 ± 20 nm，em：440 ± 20 nm）を取得。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_2,4.0,5.0,9.0,"1) OK | ずり速度9000 s⁻¹（合意で9000–12000 s⁻¹）と23.0 ± 0.2 °C、粘度（Pa·s/mPa·s）および成績書作成まで指示を反映 | 「ずり速度9000 s⁻¹（合意があれば9000–12000 s⁻¹）」 「装置の固定部を23.0 ± 0.2 °Cに設定」
2) NG | 必須物品のうち温度計／装置表示、ストップウォッチ、サンプリング器具、試料容器の明示がなく、全要素の反映に不足 | 「サンプリング：規定に従い代表試料を採取し」 「装置温調：装置の固定部を23.0 ± 0.2 °Cに設定」 「最も粘度の高い標準鉱油で5 min回転後」
3) OK | 元手順の順序・分岐（標準油±5%確認、温調5分後の10%低下不可、温度到達待機、15 s未安定時の扱い）を矛盾なく反映 | 「読みが既知値の±5%以内であることを確認する」 「読みの低下が10%を超えないことを確認する」 「15 sで未安定なら、その時点の値を記録し「未安定」と注記する」
4) OK | 指定条件で粘度を算出・記録し、所定の報告項目を試験成績書に記載可能 | 「粘度（Pa·sまたはmPa·s）を算出する」 「成績書に、JIS番号、製品詳細、装置形式、コーン角度・直径、ずり速度、測定温度、結果（Pa・s/mPa・s）、規定からの変更内容、試験日を記載する」
5) OK | 具体的条件の補完（ずり速度達成の回転条件例、再現性確認と再測ルール、清掃方法など）が明示 | 「（例：750 ± 10 rpm、コーン角0.5°）」","[""測定時に気泡などが発生していないかを確認し、あった場合はその旨を記録する。"", ""装置の固定部を23.0 ± 0.2 °Cに設定し、温調が安定するまで待機する（他温度は受渡当事者合意時のみ）。"", ""試料が23.0 ± 0.2 °Cに達するまで規定時間待機する。"", ""沈降・分離がある場合は気泡を入れないよう均一化する。異物・塊は不可。"", ""先端切詰めコーンを用いる場合、試料粒子径は隙間の1/10以下が望ましい。"", ""15 sで未安定なら、その時点の値を記録し「未安定」と注記する。"", ""装置形式により読みが粘度を直接示さない場合、指定の換算係数または補正曲線を適用して粘度（Pa·sまたはmPa·s）を算出する。"", ""同一条件で連続2回の操作を行い、2つの測定結果を取得する。"", ""同一装置・操作者・短時間間隔で得た2結果の差が平均値の5%を超えないことを確認する。（超える場合は原因調査・必要に応じ再測定）"", ""成績書に、JIS番号、製品詳細、装置形式、コーン角度・直径、ずり速度、測定温度、結果（Pa・s/mPa・s）、規定からの変更内容、試験日を記載する。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_3,3.0,3.0,6.0,"1) 判定: NG | 収率（％）の記録指示がなく、指示「質量・収率・同定結果を記録」に未充足。 | 「得られたカフェインは乾燥・秤量・ラベル化して保管する。」
2) 判定: NG | 必須物品の反映不足（分析天秤・駒込ピペット・スパチュラ未記載、TLC板の材質が曖昧）。 | 「TLC板の下端から10 mmに始点線を鉛筆で引き、毛細管でA,B,Cをそれぞれ1–2 mm径にスポットする。」
3) 判定: OK | 元プロトコルの順序（抽出→脱水→溶媒除去→再結晶→昇華→同定）を維持。 | 「ロータリーエバポレーターで浴40 ℃、適正減圧とし、クロロホルムをほぼ乾固まで留去する。」
4) 判定: OK | 廃液分別・昇華結晶回収・同定記録により最終状態を満たす。 | 「クロロホルム廃液はハロゲン系容器へ、水系廃液は別系統へ分別する。」
5) 判定: OK | 不足条件を具体数値で補完（時間・体積・温度を連続明示）。 | 「残液 ≤ 5 mLになるまで蒸発させる。氷水浴に10 min置いて結晶化させる。」","[""ドラフト内で作業し、保護眼鏡・ニトリル手袋・白衣を着用する。クロロホルムはハロゲン系廃液に回収することを確認する。"", ""適宜ベントする。"", ""ホットプレート200 ℃に5 min置く。つづけて250 ℃に5–10 min昇温し"", ""H₂O₂5 滴＋濃塩酸2 滴を加え150 ℃で1–2 min加熱する。"", ""クロロホルム50 mLを加える。1 min穏やかに振とうし、適宜ベントする。"", ""同条件でさらにクロロホルム50 mLで抽出し、有機層を前回分と合一する。"", ""無水硫酸マグネシウム約3 gを加え、5 min静置する（結塊がほぐれ、溶液が澄明になるまで）。"", ""ろ液を事前に質量を測ったナスフラスコ（w₁）に回収する。"", ""ロータリーエバポレーターで浴40 ℃、適正減圧とし"", ""フラスコ質量をw₂として記録し、粗生成物質量 = w₂ − w₁を計算する。"", ""エタノール10.0 mLを加え、ホットプレート60–70 ℃で完全溶解させる。"", ""残液 ≤ 5 mLになるまで蒸発させる。氷水浴に10 min置いて結晶化させる。"", ""つづけて250 ℃に5–10 min昇温し、ふた裏に昇華した白色結晶（B）を集める。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_4,3.0,5.0,8.0,"1) OK | 100 mg切除と安定化・−80°C保存の指示を反映 | 「マウス脾臓から組織サンプル100 mgを切除し」「試薬中の組織サンプルを 2 °C~ 8 °Cで一晩インキュベートする」「–80 °Cで保存する」
2) NG | 必須物品のうち「1000 μL チップ」「ピンセット」の使用記載がない | 「RNAlater RNA Stabilization Reagent 1000 μL をP1000マイクロピペットで2 mLマイクロチューブに分注する」（チップ未記載）「マウス脾臓から組織サンプル100 mgを切除し」（ピンセット未記載）
3) OK | 元プロトコルの順序（溶解→分注→切除→浸漬→2–8°C一晩→凍結）が維持 | 「37 °Cで振盪して沈澱を溶解」「2 mLマイクロチューブに分注」「完全に沈める」「2 °C~ 8 °Cで一晩インキュベート」「–80 °Cで保存する」
4) NG | 最終状態は試薬に浸されたまま−80°C保存だが、出力は凍結前に試薬から取り出している | 「2 mLマイクロチューブから組織サンプルを取り出し、新しい2 mLマイクロチューブに入れる。このマイクロチューブを冷凍庫で–80 °Cで保存する」
5) OK | 体積・温度・時間が具体化され実行可能 | 「RNAlater RNA Stabilization Reagent 1000 μL」「2 °C~ 8 °Cで一晩インキュベートする」「恒温振盪機を37 °Cに設定しておく」","[""恒温振盪機を37 °Cに設定しておく。"", ""RNAlater RNA Stabilization Reagent 1000 μL をP1000マイクロピペットで2 mLマイクロチューブに分注する。"", ""新しい2 mLマイクロチューブに入れる。"", ""冷凍庫で–80 °Cで保存する。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_5,5.0,5.0,10.0,"1) OK | 指示された還元剤条件・伸長時間・ネガティブコントロールを具体化している | 「二次マスターミックス67.2 µLに12.5、25、50、100 mM DTTまたは滅菌水をそれぞれ2.8 µL」「サーマルサイクラーで30 °C、0.5、1、2時間インキュベート」「鋳型を含まないコントロール反応液を3.5サンプル分」
2) OK | すべての必須物品の使用が明記されている | 「500 mM TCEP」「1 M Tris-HCl (pH 7.5) 500 µL、500 mM MgCl₂ 200 µL、1 M (NH₄)₂SO₄ 100 µL」「10 U/µL BseGIを1 µL」「10 U/µL Phi29 DNA Polymerase」「10 mM dNTP 25.6 µL」「10 nM 鋳型」「100 mM DTT 2.8 µL」「10× Tango buffer 2 µL」「リコンビナントアルブミン6.4 µL」「1.5% アガロースゲル…0.5× TBE…DNA Ladder」「SYBR Green II (10000×)を10 µL」「β-ME」「修飾オリゴDNAプライマー（100 µM）」「滅菌水」
3) OK | 元プロトコルの順序・論理（反応→失活→一部を消化→電気泳動）を維持 | 「65 °Cで10分間加熱してPhi29 DNA Polymeraseを失活」「20 µLのうち5 µLを滅菌水17 µL、10× Tango buffer 2 µLと混合」「10 U/µL BseGIを1 µL加えて55 °Cで16時間」「1.5% アガロースゲルにアプライし…100 V定電圧で1時間」
4) OK | 期待最終状態（DTT−バッファ、保存、バンド確認等）を満たす手順 | 「1 M Tris-HCl…500 µL、500 mM MgCl₂ 200 µL、1 M (NH₄)₂SO₄ 100 µLを順に混合して1 mL調製」「残りは −20 °Cで保存する」「残りの消化産物は −20 °Cで保存する」「約380 bp付近のバンドを確認する」
5) OK | 不足情報を具体値で補完し、操作可能な単位で明示 | 「総量908.8 µL（14.2 µL × 64サンプル）とする」「二次マスターミックス67.2 µLに…2.8 µL加えて混合」「消化産物25 µLのうち10 µLを6× Loading dye 2 µLと混合」","[""還元剤13条件とコントロール3条件（酵素・鋳型・プライマー除去）に対して、各3伸長時間に対応する合計48サンプル分"", ""（3サンプルずつ16系列の合計48サンプル）"", ""修飾オリゴDNAプライマー（100 µM）を5 µL加えて1 µMストックを調製"", ""二次マスターミックス67.2 µLに12.5、25、50、100 mM DTTまたは滅菌水をそれぞれ2.8 µL"", ""氷上で二次マスターミックス67.2 µLに88、175、350、700 mM β-MEをそれぞれ2.8 µL加えて混合"", ""氷上で二次マスターミックス67.2 µLに12.5、25、50、100 mM TCEPをそれぞれ2.8 µL加えて混合"", ""滅菌水748.8 µL、10× Phi29 Reaction Buffer (DTT−) 128 µL、リコンビナントアルブミン6.4 µL、10 mM dNTP 25.6 µL"", ""総量908.8 µL（14.2 µL × 64サンプル）とする"", ""還元剤を含まないマスターミックスを50サンプル分（960 µL）調製する。"", ""…反応液を3.5サンプル分ずつ5系列調製する。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_6,0.0,3.0,3.0,"1) OK | 標準系とPEG添加系の双方でSCAを実施し、体積拡張に対応した構成が示されている | 「【標準条件サンプル】…14本チューブに27 µLずつ分注」「【PEG添加条件サンプル】…50% PEG 4000 90 µLを加えて混合、14本チューブに27 µLずつ分注」
2) OK | 指定物品は手順中で具体的に使用されている | 「1 M KCl」「500 mM MgCl₂」「500 mM EDTA」「クロロホルム/イソアミルアルコール 30 µL」「0.5× TBEで90 V・90 分泳動」「10 mg/mL EtBrを10 µL添加」
3) NG | 希釈系列の作成指示に論理不整合があり、記載どおりでは1/60〜1/150が作成できない | 「Dilution Buffer 9 µL + 手順5で調製した希釈酵素 1 µLで希釈し、1/60, 1/100, 1/120, 1/150, 1/200, 1/300系列をそれぞれ作成する。」
4) NG | 5× Reaction Bufferおよび1× Dilution Bufferのグリセロールが規定値にならず、期待最終状態の組成を満たさない | 「グリセロール 129 µL」「グリセロール 198 µL」
5) NG | 計算値や具体性の不足があり、実行上の補完が不十分 | 「手順5で調製した希釈酵素 1 µLで希釈し…」「グリセロール 129 µL」","[""即座にボルテックスで優しく混和後、37 °Cで30分間反応する。"", ""同様にマスターミックス315 µLを分取し、50% PEG 4000 90 µLを加えて混合、14本チューブに27 µLずつ分注する。"", ""反応液30 µLに2× GSTEB 30 µLおよびクロロホルム/イソアミルアルコール 30 µLを加え"", ""5× Buffer 192 µL、超純水464 µL、リラックス化pBR322 16 µLを加えて氷上で混合する。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_7,4.0,5.0,9.0,"1) OK | 反応液100 µLでMgCl₂ 20 mM、同一組成バッファーの一貫使用、溶出100 µL、A260測定まで指示を反映 | 「（合計100 µL、DNAオリガミ 1 pmol、MgCl₂ 20 mM）」／「1× Origami Buffer（Annealing/Binding/Washing/Elution共通）」／「Elution Buffer 100 µL」／「A260を測定」
2) OK | すべての必須物品を具体的に使用している | 「15 mL遠心チューブに50× TAE Buffer 2 mL、500 mM MgCl₂ 4 mL」／「100 nM M13mp18 10 µL、1 µM ステープルDNA混合液 10 µL、1 µMビオチン化ハンドルDNA混合液 1.5 µL」／「ストレプトアビジン磁気ビーズ25 µL」／「1%アガロースゲル」／「青色光源対応のゲル撮影装置」
3) OK | 元プロトコルの順序（アニーリング→平衡化→結合→洗浄→溶出→回収→評価）を維持 | 「サーマルサイクラーでアニーリングを行う」／「洗浄後のビーズに手順3のElution Buffer 100 µLを加え」
4) OK | 10×/1×バッファー各10 mL調製、DNAオリガミ1 pmol調製・精製、指定量サンプル泳動、画分保存を満たす | 「【バッファー準備①】10× Origami Buffer 10 mLを調製する。」／「【バッファー準備②】1× Origami Buffer…10 mLを調製する。」／「精製前サンプル（手順9の分取分）2 µL、結合後上清 2 µL、洗浄1～3回目上清 各6 µL、溶出サンプル 2 µL」／「4 °C保存する」
5) OK | 具体的数値・条件（体積、時間、温度、rpm、電圧等）が明示され補完も適切 | 「室温（20–25 °C）で1時間、1,000 rpmで振盪」／「70 Vで3時間泳動する」","[""10 µMビオチン化ハンドルDNA混合液 5 µLに滅菌水45 µLを加えて10倍希釈し、1 µMビオチン化ハンドルDNA混合液を得る。"", ""ストレプトアビジン磁気ビーズ25 µL"", ""2 µMリリースDNA混合液 2.5 µL（計5 pmol＝DNAオリガミ1 pmolに対し5当量）"", ""50× TAE Buffer 2 mL、500 mM MgCl₂ 4 mL"", ""1× Origami Buffer（Annealing/Binding/Washing/Elution共通）"", ""Running Buffer［1× TAE、5 mM MgCl₂］"", ""70 Vで3時間泳動する。泳動中は氷上で温度上昇を防ぐ。"", ""発泡を避け、遠心しない"", ""ビーズを乾燥させない。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_8,5.0,4.0,9.0,"1) OK | 200 µL反応→酸性フェノール/クロロホルム抽出→NAP-5脱塩→EtOH沈殿→50 µL再溶解→A260測定まで指示の工程・条件を具体量で網羅。 | 「総量200 µLに調製する。」「RNase-free 水50 µLでペレットを懸濁」「微量UV分光光度計でA260（1 A260 = 40 µg/mLとして換算）」
2) OK | 列挙された全物品（鋳型DNA、Buffer、NTP、RNase inhibitor、T7 Pol、DNase I、酸性フェノール/クロロホルム、NAP‑5、NaOAc、EtOH類、RNase除去スプレー、機器等）を手順内で具体的に使用。 | 「100 ng/µL 鋳型 40 µL (4 µg)」「酸性フェノール：クロロホルム：IAA」「NAP-5カラム」「100%エタノール」「70%エタノール」
3) OK | 参考手順の順序（反応→DNase→抽出→カラム→沈殿→乾燥/溶解→定量）を保持し、矛盾なし。 | 「フェノール・クロロホルム抽出の遠心中に、NAP-5カラムの平衡化を行う。」
4) OK | 50 µLへ再溶解し、A260/280測定・記録後に−80 °C保存まで記載。 | 「RNase-free 水50 µLでペレットを懸濁」「微量UV分光光度計でA260…測定・記録する。サンプルは−80 °C保存する。」
5) OK | 不明瞭点を具体化（g値/時間/体積、NAP‑5の分画、チューブ容量超過回避の分割等）。 | 「容量超過を避けるため、2本の1.5 mLチューブに分割する。」","[""10× Buffer 20 µL、各100 mM NTP 10 µL×4（各5 mM終濃度）、RNase inhibitor 5 µL（200 U）、T7 Polymerase 20 µL、100 ng/µL 鋳型 40 µL (4 µg)、RNase-free 水 75 µL"", ""DNase Iを2 µL"", ""RNase除去スプレーを作業面・器具に噴霧して30秒待機しRNase-freeワイプで拭き取り、清潔な手袋に交換する。"", ""油水界面の不純物は吸わないように気を付ける。"", ""ペレットを壊さないように注意深く、上清をピペットのチップで完全に取り除く。"", ""乾かし過ぎないよう注意する。"", ""さらにRNase-free 水 300 µLをロードする。この間の溶出画分は回収しない。"", ""カラムにRNase-free 水 700 µLをロードしつつ、溶出画分約700 µLを回収する。"", ""3 M 酢酸ナトリウム（pH 5.2）70 µL"", ""容量超過を避けるため、2本の1.5 mLチューブに分割する。"", ""それぞれのチューブに875 µLの100%エタノールを加える。""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
public_test_9,0.0,4.0,4.0,"1) NG | 指示の濃度範囲(100 µM～100 nM)が誤りなく反映されていない。最終in‑well濃度の明示もなし | 「1 mMから1.0 µMまでの11濃度系列」
2) NG | 使用物品の「Hela細胞 1.0 x 10^5 cell/mL」が特定されず、曖昧な表現のみ | 「96-well plateのウェル48箇所に、細胞懸濁液を 100 μl」
3) OK | 元プロトコルの時系列（播種→24h→被験物質10 µL→24h→MTT 10 µL→3h→PBS洗浄→溶解→570 nm測定）を維持 | 「MTT溶液を 10 μl ずつ添加する。」「ホルマザン溶解液を 200 µLずつ加える。」「570 nm の吸光度を測定する。」
4) NG | 計算ミスにより手順の妥当性に疑義。DMSO 1%の調製量が不整合、希釈系列に数値誤り | 「DMSO 1 µL と培地 999 µLを混合して、1%DMSO溶液」「…31.3 µM, 1.56 µM, 7.8 µM…」
5) NG | 不足の補完。投与後の最終濃度計算や細胞数/種類の明示がない | 「細胞懸濁液を 100 μl」「…10 µL ずつ、それぞれ4ウェルに加える。」","[""「1 mMから1.0 µMまでの11濃度系列とマスターミックスを10 µL ずつ、それぞれ4ウェルに加える。」"", ""「100 mM 化合物A 10 µLと培地 90 µLを入れ混合して10 mM…」「…10 µLと培地 90 µLを入れ混合して1 mM…」「1 mM 化合物A 50 µLと…マスターミックス50 µLを混合」"", ""「1 mM の化合物Aの溶液(1%DMSO)を調製する。」"", ""「バックグラウンド測定用の4ウェルには、培地のみ加える。」""]",,gpt-5-2025-08-07,contrastive_dual_pass,1
